identifier,frequency,startdate,splitgift,donor,motivation_1,recipient_support_1,recipient_keymin_1,recipient_field_1,amount_1,motivation_2,recipient_support_2,recipient_keymin_2,recipient_field_2,amount_2,motivation_3,recipient_support_3,recipient_keymin_3,recipient_field_3,amount_3
583,once,2012-10-29T00:00:00,1,807,KEYMIN,18,30,13,214,KEYMIN,11,39,7,121,SUPPORT,102,12,14,164
584,once,2012-10-07T00:00:00,2,313,FIELD,168,9,11,74,SUPPORT,72,32,3,500,FIELD,39,14,18,176
585,once,2012-03-23T00:00:00,2,101,SUPPORT,160,2,6,434,KEYMIN,147,15,4,488,FIELD,117,20,16,297
586,quarterly,2012-08-02T00:00:00,2,90,SUPPORT,128,14,13,168,SUPPORT,99,22,3,211,FIELD,120,41,3,200
587,once,2012-02-16T00:00:00,1,549,KEYMIN,52,12,16,157,SUPPORT,116,12,6,305,SUPPORT,92,29,20,114
588,once,2012-06-25T00:00:00,1,282,KEYMIN,100,5,3,435,SUPPORT,137,8,4,115,SUPPORT,113,31,6,172
589,once,2012-09-23T00:00:00,1,40,KEYMIN,193,16,17,457,FIELD,125,35,7,10,FIELD,20,38,12,124
590,once,2012-04-18T00:00:00,1,352,SUPPORT,38,25,1,131,SUPPORT,181,11,10,62,KEYMIN,72,13,17,338
591,once,2012-11-28T00:00:00,2,108,KEYMIN,175,13,3,303,FIELD,90,6,13,29,SUPPORT,90,4,20,500
592,quarterly,2012-08-02T00:00:00,1,155,SUPPORT,43,10,1,170,SUPPORT,172,34,1,412,KEYMIN,182,7,16,262
593,monthly,2012-08-18T00:00:00,1,726,SUPPORT,74,45,1,353,KEYMIN,151,33,18,125,KEYMIN,22,6,12,182
594,monthly,2012-06-01T00:00:00,1,405,FIELD,199,22,8,242,FIELD,88,31,7,299,KEYMIN,21,8,17,42
595,monthly,2012-09-07T00:00:00,2,442,SUPPORT,114,16,8,317,SUPPORT,119,10,11,359,SUPPORT,14,28,6,104
596,monthly,2012-07-17T00:00:00,1,273,SUPPORT,68,31,9,402,KEYMIN,15,33,6,140,FIELD,44,27,18,17
597,monthly,2012-02-02T00:00:00,1,96,SUPPORT,19,12,10,483,SUPPORT,3,27,17,427,SUPPORT,51,30,5,423
598,once,2012-10-09T00:00:00,1,802,SUPPORT,84,34,6,389,SUPPORT,194,25,12,309,SUPPORT,24,21,1,32
599,monthly,2012-07-15T00:00:00,2,518,SUPPORT,113,22,19,464,FIELD,188,47,12,297,SUPPORT,96,2,8,235
600,once,2012-09-11T00:00:00,1,411,SUPPORT,182,41,18,362,SUPPORT,153,44,11,254,KEYMIN,123,8,17,427
601,monthly,2012-05-10T00:00:00,1,569,SUPPORT,155,43,19,299,KEYMIN,137,36,15,54,SUPPORT,196,5,17,436
602,once,2012-07-01T00:00:00,1,366,SUPPORT,180,29,19,229,SUPPORT,107,17,19,289,SUPPORT,141,6,15,161
603,once,2012-03-21T00:00:00,1,821,SUPPORT,81,39,9,330,SUPPORT,114,27,8,258,SUPPORT,91,14,5,362
604,once,2012-05-06T00:00:00,1,514,KEYMIN,184,15,4,488,SUPPORT,89,5,13,412,SUPPORT,181,11,13,263
605,once,2012-02-26T00:00:00,3,38,SUPPORT,198,45,11,192,SUPPORT,72,31,14,344,SUPPORT,176,37,5,213
606,quarterly,2012-06-15T00:00:00,2,880,KEYMIN,123,47,4,17,FIELD,160,4,10,309,SUPPORT,191,47,12,315
607,once,2012-02-14T00:00:00,3,589,KEYMIN,38,28,18,96,SUPPORT,2,23,3,234,KEYMIN,177,32,3,106
608,once,2012-10-25T00:00:00,2,873,KEYMIN,136,32,11,264,KEYMIN,191,19,3,410,SUPPORT,73,20,20,10
609,monthly,2012-05-28T00:00:00,3,545,FIELD,140,21,18,258,SUPPORT,197,48,6,349,SUPPORT,31,3,10,275
610,once,2012-12-28T00:00:00,1,686,SUPPORT,76,48,12,490,KEYMIN,199,50,3,423,SUPPORT,10,6,4,253
611,monthly,2012-08-10T00:00:00,1,982,FIELD,75,1,12,421,SUPPORT,110,47,10,436,SUPPORT,174,29,3,420
612,monthly,2012-12-08T00:00:00,3,41,SUPPORT,9,8,15,340,SUPPORT,86,27,13,14,FIELD,37,49,5,201
613,monthly,2012-09-09T00:00:00,1,835,SUPPORT,172,5,6,296,SUPPORT,148,47,20,462,FIELD,191,34,5,145
614,monthly,2012-07-01T00:00:00,2,397,FIELD,48,23,7,258,SUPPORT,138,26,15,313,SUPPORT,41,1,9,35
615,monthly,2012-04-10T00:00:00,2,591,SUPPORT,169,36,17,42,SUPPORT,32,28,13,18,SUPPORT,33,36,20,68
616,once,2012-03-09T00:00:00,2,616,SUPPORT,96,30,15,245,KEYMIN,138,7,7,308,KEYMIN,83,18,15,465
617,quarterly,2012-01-23T00:00:00,2,497,SUPPORT,184,35,15,313,SUPPORT,61,4,19,257,KEYMIN,21,8,11,345
618,once,2012-05-30T00:00:00,2,641,FIELD,192,42,4,321,SUPPORT,103,13,15,35,SUPPORT,154,19,7,353
619,monthly,2012-04-08T00:00:00,2,638,SUPPORT,172,37,7,181,KEYMIN,162,9,1,13,SUPPORT,5,23,2,180
620,monthly,2012-05-12T00:00:00,3,555,SUPPORT,47,44,9,490,SUPPORT,174,16,1,17,SUPPORT,166,27,11,135
621,quarterly,2012-12-20T00:00:00,1,666,SUPPORT,34,17,13,459,KEYMIN,129,26,10,254,KEYMIN,86,5,16,330
622,once,2012-12-30T00:00:00,2,479,SUPPORT,144,35,13,184,SUPPORT,87,50,10,322,KEYMIN,32,12,11,47
623,monthly,2012-03-11T00:00:00,2,226,KEYMIN,114,39,14,416,SUPPORT,134,7,11,165,FIELD,30,45,20,292
624,once,2012-07-03T00:00:00,3,1,SUPPORT,141,5,20,6,SUPPORT,185,21,9,37,SUPPORT,109,29,7,466
625,once,2012-06-27T00:00:00,1,982,SUPPORT,63,31,13,299,SUPPORT,102,5,8,99,FIELD,166,26,1,225
626,monthly,2012-08-12T00:00:00,1,769,SUPPORT,70,30,4,139,SUPPORT,181,31,1,207,KEYMIN,56,49,2,470
627,monthly,2012-12-12T00:00:00,1,765,SUPPORT,85,21,14,19,SUPPORT,64,48,17,344,FIELD,122,18,8,156
628,monthly,2012-05-30T00:00:00,1,889,SUPPORT,107,34,8,288,SUPPORT,50,14,14,279,SUPPORT,168,24,9,71
629,once,2012-10-11T00:00:00,1,698,SUPPORT,131,41,6,476,SUPPORT,144,27,11,283,SUPPORT,40,21,16,134
630,monthly,2012-09-17T00:00:00,1,369,KEYMIN,91,34,20,89,SUPPORT,34,42,8,402,FIELD,62,5,14,169
631,once,2012-05-04T00:00:00,1,157,SUPPORT,43,39,1,244,KEYMIN,186,28,16,223,SUPPORT,101,3,2,69
632,monthly,2012-05-10T00:00:00,1,671,KEYMIN,147,1,16,102,SUPPORT,185,17,11,123,SUPPORT,34,24,19,149
633,quarterly,2012-02-10T00:00:00,3,538,SUPPORT,134,14,5,276,SUPPORT,2,24,13,284,SUPPORT,119,31,5,24
634,quarterly,2012-02-06T00:00:00,2,386,SUPPORT,135,21,10,47,FIELD,166,15,10,393,FIELD,130,38,14,181
635,monthly,2012-02-26T00:00:00,2,107,SUPPORT,187,33,14,462,FIELD,167,24,3,253,SUPPORT,138,13,11,149
636,once,2012-01-07T00:00:00,1,234,SUPPORT,165,22,9,130,SUPPORT,104,49,2,279,KEYMIN,7,16,3,113
637,once,2012-09-09T00:00:00,2,350,SUPPORT,197,28,14,498,SUPPORT,28,2,10,271,SUPPORT,156,49,15,107
638,monthly,2012-04-24T00:00:00,3,843,SUPPORT,170,25,1,157,KEYMIN,73,36,7,308,SUPPORT,126,40,3,172
639,quarterly,2012-03-03T00:00:00,2,358,SUPPORT,99,31,2,111,FIELD,115,39,10,91,KEYMIN,30,45,3,345
640,monthly,2012-08-30T00:00:00,2,210,SUPPORT,106,36,14,161,FIELD,153,16,10,70,KEYMIN,167,15,10,194
641,monthly,2012-11-06T00:00:00,1,433,FIELD,179,17,13,52,SUPPORT,118,36,2,323,SUPPORT,169,50,4,80
642,once,2012-05-02T00:00:00,1,94,KEYMIN,128,43,15,391,FIELD,66,40,13,338,SUPPORT,186,3,8,15
643,monthly,2012-12-30T00:00:00,2,33,FIELD,48,13,15,6,SUPPORT,129,6,10,78,SUPPORT,55,50,20,280
644,monthly,2012-10-21T00:00:00,1,80,SUPPORT,198,45,9,79,SUPPORT,177,23,19,252,FIELD,177,35,4,304
645,monthly,2012-05-28T00:00:00,3,375,SUPPORT,121,8,9,472,KEYMIN,109,27,19,325,FIELD,157,37,19,309
646,once,2012-03-03T00:00:00,1,256,SUPPORT,46,32,13,463,FIELD,111,1,11,353,FIELD,139,48,3,347
647,once,2012-08-04T00:00:00,2,75,SUPPORT,53,17,19,125,SUPPORT,125,6,13,475,KEYMIN,101,7,9,341
648,once,2012-02-16T00:00:00,1,190,SUPPORT,16,9,9,248,FIELD,46,16,1,44,SUPPORT,108,27,15,441
649,monthly,2012-09-15T00:00:00,2,454,KEYMIN,51,15,20,353,FIELD,27,44,15,9,SUPPORT,129,37,10,495
650,monthly,2012-03-27T00:00:00,3,552,FIELD,108,27,12,274,SUPPORT,103,7,9,289,KEYMIN,48,46,3,454
651,once,2012-08-20T00:00:00,3,559,SUPPORT,119,25,19,227,SUPPORT,12,19,1,429,SUPPORT,144,44,2,180
652,once,2012-01-31T00:00:00,1,752,SUPPORT,141,36,12,332,SUPPORT,173,6,16,102,KEYMIN,123,8,12,118
653,monthly,2012-07-09T00:00:00,3,207,FIELD,125,42,7,125,SUPPORT,85,28,1,478,KEYMIN,130,17,4,453
654,monthly,2012-02-04T00:00:00,1,93,SUPPORT,195,13,2,33,KEYMIN,68,30,13,89,SUPPORT,22,15,5,107
655,once,2012-08-04T00:00:00,2,836,SUPPORT,23,21,9,445,FIELD,98,43,17,165,FIELD,162,42,9,225
656,monthly,2012-10-21T00:00:00,2,498,KEYMIN,173,3,14,49,SUPPORT,158,12,6,276,SUPPORT,135,45,18,413
657,once,2012-12-08T00:00:00,2,429,KEYMIN,134,5,10,355,SUPPORT,24,31,13,432,FIELD,88,43,1,335
658,monthly,2012-06-09T00:00:00,2,635,FIELD,135,6,8,434,FIELD,197,34,5,335,SUPPORT,93,33,17,403
659,monthly,2012-07-13T00:00:00,2,222,SUPPORT,50,15,7,477,SUPPORT,123,8,14,482,SUPPORT,86,25,6,493
660,quarterly,2012-05-22T00:00:00,1,485,SUPPORT,28,4,6,191,FIELD,19,11,9,454,KEYMIN,171,8,14,310
661,quarterly,2012-01-05T00:00:00,1,765,SUPPORT,91,9,6,226,SUPPORT,155,15,12,269,KEYMIN,142,30,9,254
662,monthly,2012-01-13T00:00:00,1,558,KEYMIN,126,46,17,87,SUPPORT,90,1,18,498,FIELD,10,47,6,294
663,quarterly,2012-08-18T00:00:00,1,741,SUPPORT,102,10,8,403,SUPPORT,77,41,14,497,SUPPORT,168,36,3,427
664,once,2012-12-24T00:00:00,1,20,FIELD,37,23,4,214,KEYMIN,111,21,18,204,SUPPORT,194,47,14,226
665,monthly,2012-03-19T00:00:00,1,328,SUPPORT,47,47,10,344,SUPPORT,156,28,13,381,SUPPORT,122,9,9,285
666,quarterly,2012-02-26T00:00:00,1,834,KEYMIN,50,23,2,317,KEYMIN,25,44,4,266,SUPPORT,191,12,18,33
667,monthly,2012-06-23T00:00:00,1,589,FIELD,117,34,19,163,SUPPORT,164,17,18,120,SUPPORT,174,25,15,489
668,once,2012-04-30T00:00:00,1,220,KEYMIN,178,14,20,243,SUPPORT,20,7,9,388,SUPPORT,68,34,17,265
669,monthly,2012-05-08T00:00:00,1,990,SUPPORT,73,9,8,192,KEYMIN,5,12,10,397,KEYMIN,119,42,16,457
670,once,2012-06-17T00:00:00,1,18,FIELD,189,45,3,88,SUPPORT,80,21,4,355,SUPPORT,105,41,10,88
671,once,2012-10-11T00:00:00,2,207,SUPPORT,79,48,10,247,SUPPORT,14,50,6,190,SUPPORT,80,49,8,18
672,monthly,2012-02-08T00:00:00,2,946,SUPPORT,64,26,10,20,KEYMIN,168,9,19,229,SUPPORT,43,48,3,133
673,monthly,2012-11-02T00:00:00,1,68,FIELD,54,30,6,384,KEYMIN,118,39,14,76,SUPPORT,193,16,8,365
674,quarterly,2012-05-12T00:00:00,1,639,FIELD,196,21,10,254,SUPPORT,187,41,13,117,KEYMIN,9,9,10,222
675,monthly,2012-10-13T00:00:00,1,958,FIELD,42,38,12,471,SUPPORT,114,22,14,30,KEYMIN,180,28,5,20
676,once,2012-08-06T00:00:00,2,166,KEYMIN,129,30,2,296,SUPPORT,64,47,10,59,FIELD,159,22,5,348
677,once,2012-02-22T00:00:00,1,24,SUPPORT,1,38,5,497,SUPPORT,152,8,4,472,FIELD,97,44,20,240
678,once,2012-03-25T00:00:00,2,651,SUPPORT,102,13,10,18,SUPPORT,57,44,13,166,SUPPORT,182,23,3,83
679,quarterly,2012-04-16T00:00:00,3,709,SUPPORT,61,22,7,37,SUPPORT,11,19,7,173,SUPPORT,93,17,13,45
680,quarterly,2012-10-01T00:00:00,1,969,KEYMIN,170,3,1,12,FIELD,84,11,3,388,SUPPORT,169,42,12,178
681,quarterly,2012-06-27T00:00:00,1,571,SUPPORT,184,46,12,448,SUPPORT,71,47,8,250,SUPPORT,73,40,6,322
682,quarterly,2012-04-20T00:00:00,2,215,SUPPORT,29,45,7,131,FIELD,130,15,19,68,SUPPORT,26,46,9,47
683,monthly,2012-01-19T00:00:00,3,224,FIELD,174,22,8,174,FIELD,194,18,18,472,SUPPORT,100,6,17,475
684,once,2012-11-08T00:00:00,1,203,SUPPORT,199,36,20,306,KEYMIN,140,26,17,329,SUPPORT,95,7,6,207
685,monthly,2012-02-06T00:00:00,3,895,SUPPORT,161,5,7,469,FIELD,136,9,12,496,SUPPORT,66,35,16,324
686,monthly,2012-01-23T00:00:00,1,321,FIELD,20,28,7,293,SUPPORT,196,6,1,190,KEYMIN,67,21,3,237
687,monthly,2012-05-14T00:00:00,2,929,FIELD,56,23,20,366,FIELD,68,34,15,355,SUPPORT,95,39,8,260
688,monthly,2012-07-23T00:00:00,1,8,SUPPORT,53,17,8,243,SUPPORT,4,43,5,353,KEYMIN,76,30,20,445
689,once,2012-06-15T00:00:00,1,730,SUPPORT,140,33,1,49,SUPPORT,36,47,6,42,SUPPORT,84,23,16,312
690,once,2012-08-28T00:00:00,1,458,SUPPORT,163,50,4,30,SUPPORT,198,38,16,210,KEYMIN,67,13,16,42
691,monthly,2012-02-14T00:00:00,1,949,FIELD,128,44,14,114,SUPPORT,8,37,10,366,KEYMIN,137,9,1,179
692,once,2012-03-19T00:00:00,1,44,SUPPORT,8,19,15,167,SUPPORT,116,46,13,98,FIELD,43,11,5,182
693,once,2012-05-02T00:00:00,1,739,SUPPORT,146,23,19,285,FIELD,28,2,19,56,SUPPORT,53,16,8,137
694,monthly,2012-08-04T00:00:00,2,615,FIELD,184,34,16,389,SUPPORT,172,33,11,204,SUPPORT,51,9,4,47
695,monthly,2012-02-22T00:00:00,1,495,SUPPORT,89,20,2,212,KEYMIN,13,33,2,473,KEYMIN,130,49,12,84
696,monthly,2012-02-12T00:00:00,1,684,SUPPORT,4,13,10,131,FIELD,19,42,5,489,FIELD,147,11,19,268
697,monthly,2012-09-27T00:00:00,1,827,SUPPORT,118,2,11,144,SUPPORT,30,40,2,259,SUPPORT,189,45,14,188
698,monthly,2012-11-02T00:00:00,1,286,SUPPORT,175,31,4,7,SUPPORT,99,9,20,93,SUPPORT,172,41,19,220
699,once,2012-01-11T00:00:00,1,395,SUPPORT,103,14,17,258,SUPPORT,42,20,7,250,SUPPORT,144,43,18,385
700,quarterly,2012-07-09T00:00:00,1,382,SUPPORT,16,47,11,308,SUPPORT,189,45,7,284,KEYMIN,165,3,17,265
701,quarterly,2012-08-28T00:00:00,1,325,FIELD,99,14,13,273,SUPPORT,200,19,10,170,SUPPORT,169,10,12,423
702,once,2012-01-27T00:00:00,1,619,SUPPORT,59,20,5,250,SUPPORT,127,13,12,378,FIELD,55,33,9,326
703,monthly,2012-11-06T00:00:00,1,606,KEYMIN,97,34,14,31,SUPPORT,69,3,1,348,SUPPORT,126,40,2,13
704,monthly,2012-06-03T00:00:00,1,596,KEYMIN,200,46,17,298,SUPPORT,42,32,17,173,SUPPORT,69,3,4,297
705,monthly,2012-10-23T00:00:00,1,490,SUPPORT,86,24,4,414,SUPPORT,4,13,18,286,FIELD,183,50,11,32
706,once,2012-08-12T00:00:00,2,227,SUPPORT,182,38,16,23,SUPPORT,11,40,9,151,SUPPORT,118,28,3,67
707,once,2012-01-29T00:00:00,3,669,FIELD,99,42,4,462,SUPPORT,25,12,4,284,SUPPORT,68,49,3,145
708,quarterly,2012-05-02T00:00:00,3,532,FIELD,170,18,13,342,SUPPORT,177,43,12,19,SUPPORT,79,23,17,341
709,monthly,2012-07-15T00:00:00,1,919,FIELD,189,1,4,331,KEYMIN,116,49,8,369,FIELD,121,6,11,57
710,once,2012-06-03T00:00:00,3,552,SUPPORT,103,42,17,338,KEYMIN,72,27,17,131,SUPPORT,43,23,17,388
711,once,2012-03-25T00:00:00,1,444,FIELD,50,45,20,124,SUPPORT,19,30,15,47,KEYMIN,198,12,16,166
712,monthly,2012-10-31T00:00:00,1,499,SUPPORT,61,5,19,216,KEYMIN,12,28,17,163,SUPPORT,187,1,10,499
713,once,2012-07-01T00:00:00,1,633,SUPPORT,7,37,11,31,FIELD,118,47,3,443,SUPPORT,157,1,6,155
714,quarterly,2012-01-27T00:00:00,2,941,FIELD,82,20,14,60,SUPPORT,105,27,18,420,SUPPORT,40,20,8,179
715,once,2012-10-01T00:00:00,2,153,FIELD,56,18,18,430,FIELD,101,41,8,263,KEYMIN,129,28,5,482
716,once,2012-11-18T00:00:00,1,428,SUPPORT,110,21,5,195,FIELD,14,19,13,308,KEYMIN,187,27,16,171
717,monthly,2012-10-23T00:00:00,3,747,KEYMIN,110,10,13,220,SUPPORT,50,41,12,302,SUPPORT,100,12,12,112
718,monthly,2012-08-30T00:00:00,1,21,SUPPORT,173,14,5,443,SUPPORT,191,43,4,294,SUPPORT,167,37,1,382
719,once,2012-04-30T00:00:00,1,929,SUPPORT,179,4,10,443,FIELD,46,39,2,119,FIELD,108,47,20,357
720,monthly,2012-02-20T00:00:00,2,851,SUPPORT,163,26,3,275,KEYMIN,10,38,4,387,SUPPORT,59,6,17,251
721,quarterly,2012-11-14T00:00:00,2,670,KEYMIN,155,26,1,301,SUPPORT,42,25,18,283,FIELD,41,29,10,469
722,once,2012-03-25T00:00:00,2,959,FIELD,33,37,15,25,KEYMIN,121,46,7,289,SUPPORT,36,34,10,35
723,monthly,2012-07-29T00:00:00,3,490,FIELD,129,11,9,475,SUPPORT,143,23,1,259,KEYMIN,107,30,4,229
724,once,2012-07-05T00:00:00,3,710,SUPPORT,45,8,11,193,KEYMIN,37,26,4,451,SUPPORT,136,41,7,271
725,once,2012-07-25T00:00:00,1,905,KEYMIN,192,5,4,260,SUPPORT,130,46,13,116,KEYMIN,45,1,16,463
726,monthly,2012-06-21T00:00:00,1,349,SUPPORT,174,46,17,12,SUPPORT,78,10,4,312,FIELD,41,36,4,237
727,monthly,2012-04-28T00:00:00,1,233,KEYMIN,190,45,9,15,SUPPORT,186,27,4,124,FIELD,57,50,12,169
728,quarterly,2012-03-15T00:00:00,1,574,KEYMIN,160,2,15,453,SUPPORT,190,7,2,473,FIELD,133,1,1,218
729,quarterly,2012-03-29T00:00:00,1,98,SUPPORT,92,16,15,84,KEYMIN,89,48,17,341,SUPPORT,96,34,8,156
730,monthly,2012-09-11T00:00:00,1,605,SUPPORT,131,5,8,181,FIELD,181,41,5,73,KEYMIN,65,29,2,15
731,monthly,2012-05-26T00:00:00,1,973,SUPPORT,57,13,8,482,SUPPORT,31,5,12,139,SUPPORT,183,1,7,244
732,once,2012-03-23T00:00:00,1,82,SUPPORT,173,48,20,108,SUPPORT,164,44,3,39,KEYMIN,130,22,8,392
733,quarterly,2012-08-10T00:00:00,2,348,SUPPORT,161,37,16,300,FIELD,144,35,20,190,SUPPORT,106,45,13,414
734,once,2012-11-22T00:00:00,1,430,SUPPORT,157,14,8,492,FIELD,156,12,8,193,KEYMIN,144,47,12,383
735,once,2012-05-20T00:00:00,1,901,SUPPORT,91,19,5,336,SUPPORT,16,44,8,237,FIELD,200,29,5,18
736,monthly,2012-04-22T00:00:00,2,525,SUPPORT,43,27,9,234,KEYMIN,177,14,13,392,SUPPORT,143,19,12,167
737,once,2012-12-12T00:00:00,2,458,SUPPORT,18,8,12,358,SUPPORT,65,32,13,419,SUPPORT,66,4,1,180
738,once,2012-10-29T00:00:00,2,704,SUPPORT,15,10,14,121,KEYMIN,119,45,16,432,SUPPORT,25,3,16,198
739,once,2012-11-12T00:00:00,1,310,SUPPORT,49,42,19,85,SUPPORT,182,29,2,111,FIELD,87,7,17,247
740,once,2012-09-19T00:00:00,2,225,SUPPORT,98,46,4,498,SUPPORT,142,50,16,171,SUPPORT,184,49,16,404
741,monthly,2012-04-04T00:00:00,1,972,FIELD,148,50,17,254,KEYMIN,98,10,10,486,SUPPORT,150,49,3,297
742,quarterly,2012-06-17T00:00:00,2,789,KEYMIN,9,29,15,310,SUPPORT,163,36,11,429,FIELD,168,21,1,37
743,once,2012-09-29T00:00:00,2,848,FIELD,156,26,7,42,KEYMIN,52,23,1,442,SUPPORT,10,9,3,342
744,once,2012-01-29T00:00:00,1,548,FIELD,25,20,16,69,SUPPORT,183,16,17,307,FIELD,106,19,14,19
745,monthly,2012-08-28T00:00:00,2,704,SUPPORT,113,18,18,22,SUPPORT,27,20,4,212,KEYMIN,197,39,8,496
746,monthly,2012-10-31T00:00:00,1,492,SUPPORT,108,29,20,469,FIELD,37,50,6,250,FIELD,130,44,20,443
747,monthly,2012-11-10T00:00:00,1,203,SUPPORT,87,15,20,28,SUPPORT,163,49,15,433,SUPPORT,136,22,16,398
748,once,2012-02-08T00:00:00,1,145,SUPPORT,57,23,11,280,SUPPORT,160,2,15,189,SUPPORT,118,32,3,435
749,quarterly,2012-04-08T00:00:00,1,3,SUPPORT,60,21,2,489,KEYMIN,196,5,9,206,KEYMIN,65,12,11,416
750,monthly,2012-09-01T00:00:00,1,847,SUPPORT,78,24,7,477,SUPPORT,196,23,15,123,KEYMIN,67,45,15,373
751,monthly,2012-09-25T00:00:00,2,212,SUPPORT,153,24,17,429,SUPPORT,14,27,8,218,SUPPORT,145,42,9,380
752,monthly,2012-02-20T00:00:00,2,465,SUPPORT,1,29,18,330,FIELD,184,13,10,67,FIELD,156,22,19,480
753,once,2012-10-17T00:00:00,2,912,KEYMIN,50,28,10,143,SUPPORT,51,3,2,490,KEYMIN,72,30,18,156
754,once,2012-12-02T00:00:00,1,418,SUPPORT,138,48,1,154,SUPPORT,125,49,11,194,FIELD,167,11,7,101
755,monthly,2012-10-01T00:00:00,3,53,SUPPORT,107,13,2,126,SUPPORT,40,27,19,138,SUPPORT,69,23,3,77
756,once,2012-09-25T00:00:00,1,428,SUPPORT,92,48,11,229,KEYMIN,52,41,1,257,SUPPORT,179,29,16,56
757,monthly,2012-04-02T00:00:00,1,258,FIELD,54,13,17,289,SUPPORT,134,40,9,346,KEYMIN,165,16,10,342
758,monthly,2012-10-25T00:00:00,2,903,SUPPORT,107,20,18,372,FIELD,113,31,4,159,KEYMIN,132,48,10,392
759,once,2012-02-22T00:00:00,2,917,SUPPORT,131,14,10,92,SUPPORT,156,24,20,85,KEYMIN,159,12,3,290
760,once,2012-09-25T00:00:00,1,379,SUPPORT,65,30,5,323,SUPPORT,7,7,4,230,FIELD,6,43,13,243
761,quarterly,2012-05-24T00:00:00,1,982,SUPPORT,79,9,6,60,SUPPORT,93,50,6,11,SUPPORT,154,47,15,150
762,monthly,2012-03-13T00:00:00,1,416,FIELD,160,4,5,319,SUPPORT,47,7,6,310,SUPPORT,198,49,5,273
763,once,2012-08-30T00:00:00,2,996,FIELD,122,8,12,331,SUPPORT,44,5,11,484,SUPPORT,59,17,2,377
764,once,2012-06-07T00:00:00,1,711,SUPPORT,115,20,10,180,SUPPORT,48,31,5,317,SUPPORT,114,34,16,174
765,monthly,2012-05-20T00:00:00,1,203,FIELD,94,44,9,234,SUPPORT,66,49,6,321,SUPPORT,137,20,13,37
766,monthly,2012-03-21T00:00:00,1,749,SUPPORT,11,30,8,180,FIELD,191,37,16,257,SUPPORT,108,50,16,459
767,once,2012-02-06T00:00:00,2,106,SUPPORT,11,48,16,401,FIELD,101,2,4,424,FIELD,134,2,10,489
768,monthly,2012-10-13T00:00:00,3,751,SUPPORT,177,17,4,333,KEYMIN,109,19,10,444,SUPPORT,166,4,12,216
769,monthly,2012-11-30T00:00:00,1,373,KEYMIN,130,43,9,79,FIELD,140,8,12,178,SUPPORT,35,1,6,222
770,once,2012-04-28T00:00:00,1,399,SUPPORT,118,16,11,30,KEYMIN,178,9,5,200,SUPPORT,154,49,7,494
771,once,2012-11-12T00:00:00,2,409,SUPPORT,45,25,9,228,SUPPORT,25,9,11,288,SUPPORT,29,49,4,46
772,monthly,2012-10-11T00:00:00,2,941,SUPPORT,39,19,10,228,SUPPORT,190,16,11,492,SUPPORT,155,4,9,175
773,once,2012-12-26T00:00:00,1,814,FIELD,142,43,1,450,FIELD,169,43,7,65,FIELD,32,3,9,423
774,monthly,2012-08-22T00:00:00,1,283,SUPPORT,46,28,4,408,SUPPORT,76,35,3,126,SUPPORT,95,21,19,63
775,once,2012-01-21T00:00:00,2,169,FIELD,107,4,20,438,FIELD,13,35,9,166,FIELD,48,26,17,437
776,quarterly,2012-11-20T00:00:00,1,762,SUPPORT,197,37,2,26,SUPPORT,108,21,1,282,SUPPORT,37,50,4,44
777,monthly,2012-03-27T00:00:00,1,815,KEYMIN,93,5,3,269,SUPPORT,115,14,6,413,KEYMIN,8,39,2,155
778,once,2012-08-24T00:00:00,3,330,SUPPORT,147,26,15,326,SUPPORT,35,29,15,349,KEYMIN,168,38,9,302
779,quarterly,2012-05-02T00:00:00,1,540,SUPPORT,65,11,7,63,SUPPORT,126,3,3,95,SUPPORT,64,13,14,234
780,monthly,2012-12-10T00:00:00,1,908,SUPPORT,191,38,7,137,SUPPORT,188,17,7,285,SUPPORT,193,9,11,285
781,monthly,2012-12-10T00:00:00,3,630,SUPPORT,188,10,6,38,KEYMIN,30,14,10,410,KEYMIN,25,23,18,268
782,monthly,2012-11-04T00:00:00,1,784,SUPPORT,182,6,18,370,KEYMIN,140,32,10,436,SUPPORT,109,10,5,203
783,quarterly,2012-03-17T00:00:00,3,2,SUPPORT,193,11,3,171,SUPPORT,70,1,3,19,SUPPORT,62,48,8,160
784,monthly,2012-03-03T00:00:00,3,996,SUPPORT,62,16,12,463,SUPPORT,174,46,4,9,FIELD,128,16,7,451
785,monthly,2012-06-25T00:00:00,2,281,SUPPORT,73,10,20,286,SUPPORT,175,23,5,478,SUPPORT,122,25,17,472
786,once,2012-03-13T00:00:00,3,443,SUPPORT,101,27,7,9,SUPPORT,68,3,19,303,SUPPORT,188,8,3,281
787,monthly,2012-10-25T00:00:00,1,830,SUPPORT,191,26,10,389,SUPPORT,116,33,4,235,KEYMIN,54,8,19,417
788,once,2012-09-03T00:00:00,2,413,KEYMIN,134,22,1,474,KEYMIN,155,13,5,276,SUPPORT,20,10,8,219
789,monthly,2012-02-20T00:00:00,1,252,KEYMIN,179,9,7,90,SUPPORT,111,32,8,496,FIELD,22,48,2,472
790,once,2012-01-29T00:00:00,2,7,FIELD,133,50,16,6,KEYMIN,132,43,9,104,KEYMIN,20,39,6,311
791,monthly,2012-04-12T00:00:00,3,241,SUPPORT,82,44,13,276,FIELD,99,21,18,298,SUPPORT,132,28,10,423
